Directorate,Type of Expenditure,Supplier,£
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Internal Vehicle Fue,PACE FUELCARE LTD,799.20
Environment,Energy - Electricity,Kent County Council(Kcs),799.10
Housing,Rent rebates for B&B,Rockwood Estates Ltd,798.00
Childrens' & Cultural Services,Miscellaneous Expens,Stanley Infants And Nursery School,796.25
Environment,External Printing,HAM AND PETERSHAM MAGAZINE,796.00
Environment,Internal Vehicle Fue,PACE FUELCARE LTD,795.45
Childrens' & Cultural Services,Brought Professional,Fleet Tutors,794.50
Childrens' & Cultural Services,CSC Grnt fnding serv,Richmond Childminding Group,794.00
Adult & Community Services,Residential Care,Royal Mencap Society,792.45
Environment,Minor Contract Payme,PHS Group Ltd,792.20
Environment,Catering Supplies,Hilton Caterers Limited T/A,790.50
Environment,Grounds Maintenance,RON SMITH RECYCLING LIMITED,790.00
Housing,Concessionary Fares,Post Office Ltd,784.30
Childrens' & Cultural Services,Miscellaneous Client,Treetops Nurseries Ltd,781.95
Childrens' & Cultural Services,Miscellaneous Client,Treetops Nurseries Ltd,781.95
Childrens' & Cultural Services,Miscellaneous Client,Treetops Nurseries Ltd,781.95
Childrens' & Cultural Services,Energy - Gas,Kent County Council(Kcs),781.56
Childrens' & Cultural Services,Independent Foster,The Synergy Group Ltd,780.01
Childrens' & Cultural Services,Brought Professional,Laura Service,780.00
Childrens' & Cultural Services,Grants Volunt Orgs,Asquith Nurseries Ltd T/AS,780.00
Childrens' & Cultural Services,Grants Volunt Orgs,Buttons Day Nursery School Ltd,780.00
Childrens' & Cultural Services,Grants Volunt Orgs,Buttons Day Nursery School Ltd,780.00
Childrens' & Cultural Services,Grants Volunt Orgs,Buttons Day Nursery School Ltd,780.00
Childrens' & Cultural Services,Publicity Expenses,Archer Signs Ltd,780.00
Environment,Property Maintenance,Building Automation Solutions Ltd,778.44
Adult & Community Services,Employee Training,The British Institute of Learning,775.00
Finance & Corporate Services,Employee Training Ex,Management Tests & Surveys Ltd,771.32
Adult & Community Services,Re-ablement,Eleanor Nursing and Social Care Ltd,771.22
Environment,Minor Contract Payme,A C Van Santen & Son Ltd,770.00
Childrens' & Cultural Services,Legal Fees,Voice For The Child In Care,769.13
Adult & Community Services,Residential Care,The Regard Partnership Ltd,768.39
Adult & Community Services,Residential Care,Royal Mencap Society,766.88
Childrens' & Cultural Services,property Maintenance,B.T.U. (Maintenance) Ltd.,766.87
Adult & Community Services,Re-ablement,Taylor Gordon & Co T/A,763.97
Childrens' & Cultural Services,Energy - Electricity,Kent County Council(Kcs),761.97
Environment,property Maintenance,Gemini Electrical Supplies,760.98
Adult & Community Services,Home Care,Careforce,760.65
Adult & Community Services,Asylum Seekers Sub,Richmond upon Thames Churches,760.38
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,760.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,760.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,760.00
Childrens' & Cultural Services,CSC Grnt fnding serv,HAPPY HUT PRE -SCHOOL,760.00
Childrens' & Cultural Services,CSC Grnt fnding serv,Heathfield Infant School,760.00
Childrens' & Cultural Services,Employee Training Ex,Haymarket Media,758.00
Environment,Minor Contract Payme,VOLKERHIGHWAYS LTD,757.68
Childrens' & Cultural Services,Miscellaneous Client,SIRON Ltd Jamma Umoja,756.00
Adult & Community Services,Miscellaneous Expens,Strawberry Hill Enterprises Ltd,755.98
Environment,Internal Vehicle Fue,PACE FUELCARE LTD,755.10
Adult & Community Services,Home Care,Careforce,753.27
Housing,Reactive Maint (DSO),Oakmarket Group Ltd,752.32
Finance & Corporate Services,Employee Training Ex,Kingston University Campus,752.00
Environment,Highway Materials,ASD Metal Services Limited,750.00
Adult & Community Services,Home Care,Safe Start Foundation,750.00
Childrens' & Cultural Services,Sports Coaching,Philip Lamb,750.00
Childrens' & Cultural Services,Other Materials,Bertram Library Services,749.62
Adult & Community Services,Nursing Care,Royal Star & Garter Home,748.47
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),744.71
Environment,Highways Maintenance,VOLKERHIGHWAYS LTD,744.23
Adult & Community Services,Home Care,Careforce,744.13
Adult & Community Services,Home Care,Careforce,744.13
Adult & Community Services,Day Care,High Hurlands Homes,743.82
Adult & Community Services,Day Care,High Hurlands Homes,743.82
Environment,Photocopier Expenses,Ricoh UK Limited,742.72
Childrens' & Cultural Services,Library Books,Select Music and Video,742.00
Adult & Community Services,Energy - Electricity,EDF Energy 1 Ltd,740.83
Childrens' & Cultural Services,Asylum Seekers - PA,Spectrum Consultant Limited,740.00
Adult & Community Services,Respite Care,Richmond upon Thames Churches,736.61
Environment,Load of Cullet/Rcycl,J C Dean Haulage Ltd,735.90
Childrens' & Cultural Services,Schools Catering,Sodexo Education Services Ltd,733.84
Childrens' & Cultural Services,Schools Catering,Sodexo Education Services Ltd,733.84
Childrens' & Cultural Services,Grants Volunt Orgs,Barnes Nature Kindergarten,733.00
Adult & Community Services,Home Care,Careforce,731.01
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,730.72
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),730.29
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),730.29
Environment,Highway Materials,Tarmac Roadstone Southern Ltd,730.06
Environment,Vehicle Hire,John Hanlon & Company Ltd,730.00
Environment,Vehicle Hire,John Hanlon & Company Ltd,730.00
Environment,Vehicle Hire,John Hanlon & Company Ltd,730.00
Environment,Vehicle Hire,John Hanlon & Company Ltd,730.00
Childrens' & Cultural Services,Vehicle Hire,DX Network Services Ltd,727.39
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,725.36
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,725.36
Childrens' & Cultural Services,Fixtures & Fittings,David Grace T/A Oak House Interiors,724.00
Environment,Highways Maintenance,VOLKERHIGHWAYS LTD,723.44
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),723.08
Adult & Community Services,Home Care,Careforce,722.42
Finance & Corporate Services,Employee Training Ex,Omega Age Limited,720.00
Childrens' & Cultural Services,Independent Schools,Tradewind Recruitment,720.00
Adult & Community Services,Energy - Gas,Kent County Council,719.96
Adult & Community Services,Home Care,Careforce,717.24
Adult & Community Services,Home Care,Careforce,717.23
Finance & Corporate Services,Internal Printing,Office Depot UK Limited,715.86
Adult & Community Services,Day Care,High Hurlands Homes,710.01
Adult & Community Services,Day Care,High Hurlands Homes,710.01
Environment,Vehicle Workshop,Dennis Eagle Ltd,707.68
Childrens' & Cultural Services,Stationery & Office,Clark-Bremmers Associates,707.50
Childrens' & Cultural Services,Other Materials,Bertram Library Services,703.48
Childrens' & Cultural Services,Water Rates,Thames Water Utilities Limited,701.49
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,700.17
Childrens' & Cultural Services,CSC Grnt fnding serv,RB Health and Safety Solutions Ltd,700.00
Childrens' & Cultural Services,Legal Fees,HMCS,700.00
Environment,Load of Cullet/Rcycl,Shering Weighing Group Limited,700.00
Childrens' & Cultural Services,Rents Payable,Spectrum Consultant Limited,700.00
Adult & Community Services,Home Care,Brook Street (UK) Limited,697.76
Adult & Community Services,Home Care,Brook Street (UK) Limited,697.75
Adult & Community Services,Home Care,Brook Street (UK) Limited,697.72
Adult & Community Services,Home Care,Brook Street (UK) Limited,697.72
Adult & Community Services,Home Care,Brook Street (UK) Limited,697.72
Childrens' & Cultural Services,Energy - Electricity,EDF Energy 1 Ltd,695.93
Childrens' & Cultural Services,Local Activities,Xtreme Vortex,695.00
Adult & Community Services,Home Care,Careforce,693.48
Environment,Minor Contract Payme,Thames Water Utilities Limited,693.48
Finance & Corporate Services,Myrs Allwnce crnt yr,Plum Duff,692.40
Environment,Energy - Electricity,Kent County Council(Kcs),691.97
Childrens' & Cultural Services,Publicity Expenses,The Point of Sale Poster Site,690.00
Childrens' & Cultural Services,Purchase of Admin Se,KA Wilson Ltd,690.00
Environment,External Printing,Kew Drawing Office Supplies,689.25
Environment,Street Lighting 3/4,David Webster Limited,688.53
Finance & Corporate Services,Couriers,Town Messengers,688.50
Environment,Traffic & Pedestrian,VOLKERHIGHWAYS LTD,688.24
Childrens' & Cultural Services,Miscellaneous Client,LUTON BOROUGH COUNCIL,685.90
Finance & Corporate Services,Miscellaneous Expens,Jazz Flowers Ltd,685.11
Environment,Grounds Maintenance,Veolia ES (UK) Limited,683.69
Childrens' & Cultural Services,Vehicle Hire,DX Network Services Ltd,683.32
Adult & Community Services,Residential Care,Royal Mencap Society,682.04
Environment,Load of Cullet/Rcycl,Shering Weighing Group Limited,680.00
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,679.42
Environment,Vehicle Spares,Gulliver's Truck Hire Ltd,677.95
Housing,Assessible Trans Ser,PR Coaches Ltd,675.00
Housing,Assessible Trans Ser,PR Coaches Ltd,675.00
Housing,Assessible Trans Ser,PR Coaches Ltd,675.00
Housing,Assessible Trans Ser,PR Coaches Ltd,675.00
Childrens' & Cultural Services,CSC Grnt fnding serv,Medi Aid (UK) Ltd,675.00
Environment,Employee Training,London Borough of Hounslow,675.00
Adult & Community Services,Home Care,Safe Start Foundation,675.00
Adult & Community Services,Grants Volunt Orgs,Ham and Petersham S.O.S. Scheme,671.60
Childrens' & Cultural Services,Rents Payable,Richmond Housing Partnership,670.95
Adult & Community Services,Rents Payable,Burgess Properties,667.97
Adult & Community Services,Day Care,Camphill Milton Keynes,666.72
Adult & Community Services,Day Care,Camphill Milton Keynes,666.72
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,666.40
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,666.40
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,666.40
Childrens' & Cultural Services,External Printing,Viking Direct Ltd,660.91
Childrens' & Cultural Services,Legal Fees,Town Messengers,660.25
Adult & Community Services,Residential Care,Royal Mencap Society,660.05
Environment,CPZ Zone Extensions,COBALT TELEPHONE TECHNOLOGIES,659.80
Finance & Corporate Services,Public Transport,Cyclescheme Limited,659.53
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,659.16
Childrens' & Cultural Services,Respite Care,Crossroads Care,658.75
Childrens' & Cultural Services,Independent Foster,Synergy Fostering Ltd,656.56
Childrens' & Cultural Services,Independent Foster,Synergy Fostering Ltd,656.56
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,656.32
Adult & Community Services,Residential Care,Royal Mencap Society,655.25
Childrens' & Cultural Services,Miscellaneous Expens,Trafalgar Infant School,655.20
Environment,Grounds Maintenance,RON SMITH RECYCLING LIMITED,654.79
Housing,property Maintenance,ACS Housing Grant Payments,653.82
Environment,Vehicle Spares,Tyreservices GB Ltd,653.50
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,653.00
Adult & Community Services,Home Care,Careforce,652.12
Childrens' & Cultural Services,External Printing,Trinity Mirror Southern Ltd,650.64
Environment,Agency Staff,Steve Wagstaff Consulting,650.00
Finance & Corporate Services,Computer Maintenance,Steve Wagstaff Consulting,650.00
Environment,Computer Maintenance,Steve Wagstaff Consulting,650.00
Adult & Community Services,Employee Training,South West London & St. Georges,650.00
Adult & Community Services,Employee Training,South West London & St. Georges,650.00
Environment,Stationery & Office,Local Transport Today Ltd,650.00
Environment,Vehicle Hire,Gulliver's Truck Hire Ltd,650.00
Environment,Vehicle Hire,Gulliver's Truck Hire Ltd,650.00
Environment,Vehicle Hire,Gulliver's Truck Hire Ltd,650.00
Adult & Community Services,Residential Care,Royal Mencap Society,649.54
Adult & Community Services,Re-ablement,Taylor Gordon & Co T/A,649.14
Adult & Community Services,Home Care,Careforce,648.95
Childrens' & Cultural Services,Other Materials,R B S Invoice Finance Limited,647.28
Childrens' & Cultural Services,Stationery & Office,Office Depot UK Limited,646.60
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,645.96
Environment,Furniture & Equipmen,Clive Barford Ltd,645.00
Finance & Corporate Services,Public Transport,Cyclescheme Limited,643.28
Childrens' & Cultural Services,Brought Professional,Kidsunlimited Limited,643.20
Adult & Community Services,Home Care,Crossroads Care,642.81
Environment,property Maintenance,Professional Traders Ltd,642.20
Environment,Energy - Electricity,Kent County Council(Kcs),640.56
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,639.20
Childrens' & Cultural Services,Energy - Electricity,EDF Energy 1 Ltd,638.22
Adult & Community Services,Residential Care,Royal Mencap Society,634.12
Environment,Meeting Refreshments,Hilton Caterers Limited T/A,633.20
Adult & Community Services,Nursing Care,Royal Star & Garter Home,630.41
Childrens' & Cultural Services,Brought Professional,Juan Hernandez Pineda,630.00
Environment,External Printing,Aston Colour Press Ltd.,630.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,630.00
Environment,Vehicle Tyres,Tyreservices GB Ltd,629.82
Childrens' & Cultural Services,Conference Expenses,Robbins Training and,629.60
Environment,City of London Vet,Biotope Ltd,629.04
Adult & Community Services,Residential Care,Royal Mencap Society,628.58
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,625.60
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,625.60
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,625.60
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,625.60
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,625.60
Childrens' & Cultural Services,Schools Pupil Place,Samantha Tamaddon,625.00
Childrens' & Cultural Services,Legal Fees,Alison Campbell Ltd,624.75
Adult & Community Services,Residential Care,Royal Mencap Society,623.59
Environment,Grounds Maintenance,J C M Locksmiths Ltd,620.00
Environment,Vehicle Batteries,Delta Vehicle Hire Limited,619.29
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,617.74
Childrens' & Cultural Services,Grants Volunt Orgs,Greenacres Day Nursery,617.50
Childrens' & Cultural Services,Grants Volunt Orgs,Greenacres Day Nursery,617.50
Childrens' & Cultural Services,Grants Volunt Orgs,Greenacres Day Nursery School,617.50
Childrens' & Cultural Services,Grants Volunt Orgs,Greenacres Day Nursery School,617.50
Childrens' & Cultural Services,Independent Foster,Synergy Fostering Ltd,615.41
Adult & Community Services,property Maintenance,S & F Services Ltd,615.00
Childrens' & Cultural Services,Agency Staff,Bibby Factors Manchester Ltd,613.95
Childrens' & Cultural Services,Asylum Seekers - PA,GP PROPERTIES (UK) LTD,612.00
Childrens' & Cultural Services,Asylum Seekers - PA,GP PROPERTIES (UK) LTD,612.00
Childrens' & Cultural Services,Asylum Seekers - PA,GP PROPERTIES (UK) LTD,612.00
Childrens' & Cultural Services,Asylum Seekers - PA,GP PROPERTIES (UK) LTD,612.00
Childrens' & Cultural Services,Rents Payable,GP PROPERTIES (UK) LTD,612.00
Adult & Community Services,Energy - Gas,Shell Gas Direct Limited,611.19
Environment,Parking Equipment,Parkeon Limited,608.00
Environment,Minor Contract Payme,WEC Electrical Contractors Ltd,607.00
Adult & Community Services,Grants Volunt Orgs,Hampton And Hampton Hill Voluntary,606.40
Adult & Community Services,Day Care,Norwood Ravenswood Services Ltd,606.09
Childrens' & Cultural Services,Other Materials,R B S Invoice Finance Limited,605.52
Environment,Vehicle Spares,Challenger Commercial Vehicle,604.00
Adult & Community Services,Residential Care,Royal Mencap Society,603.44
Childrens' & Cultural Services,Agncy Crtkrs & clnrs,Wetton Cleaning Services Ltd,603.12
Adult & Community Services,Miscellaneous Expens,LondonMet Enterprises Ltd,603.00
Environment,Minor Contract Payme,EDF Energy Networks Ltd,601.00
Housing,Assessible Trans Ser,Ray Searle,600.00
Housing,Assessible Trans Ser,Ray Searle,600.00
Housing,Assessible Trans Ser,Ray Searle,600.00
Housing,Assessible Trans Ser,Ray Searle,600.00
Childrens' & Cultural Services,Brought Professional,Gwen Clelland T/A Smiley Faces Ltd,600.00
Adult & Community Services,Respite Care,Hampton Care Ltd,600.00
Housing,STL Void Properties,Stephen Proudian T/A,600.00
Environment,Structural Calculati,The Power Service,600.00
Adult & Community Services,Vehicle Hire,Lex Autolease Limited,599.99
Environment,Vehicle Hire,Delta Vehicle Hire Limited,596.19
Environment,Vehicle Hire,Delta Vehicle Hire Limited,596.19
Environment,Vehicle Hire,Delta Vehicle Hire Limited,596.19
Environment,Vehicle Hire,Delta Vehicle Hire Limited,596.19
Adult & Community Services,Miscellaneous Expens,Mr Debal Bagchi,595.00
Adult & Community Services,Energy - Electricity,EDF Energy 1 Ltd,594.67
Childrens' & Cultural Services,Catering Supplies,Carford Group Limited,594.50
Adult & Community Services,Miscellaneous Expens,The Care Quality Commission,594.00
Adult & Community Services,Respite Care,Malmesbury House,591.00
Adult & Community Services,Respite Care,Malmesbury House,591.00
Adult & Community Services,Respite Care,Malmesbury House,591.00
Finance & Corporate Services,Postage,Town Messengers,589.20
Environment,Fixtures & Fittings,Professional Refurbishment Co Ltd,587.50
Childrens' & Cultural Services,Exhibition Equipment,Geo Enterprises Limited,587.48
Adult & Community Services,Day Care,Norwood Ravenswood Services Ltd,586.50
Childrens' & Cultural Services,Property Main-Progam,Peter Brett Associates LLP,583.55
Environment,Energy - Electricity,Kent County Council(Kcs),582.33
Adult & Community Services,Home Care,Home From Hospital Ltd,581.47
Adult & Community Services,Home Care,Home From Hospital Ltd,581.47
Childrens' & Cultural Services,Legal Fees,Pictons Solicitors LLP,580.00
Housing,Non Contract Clean,B.Shine Windows Ltd,580.00
Housing,Non Contract Clean,Stephen Proudian T/A,580.00
Adult & Community Services,Respite Care,Sons Of Divine Providence,580.00
Environment,Trade Refuse,RON SMITH RECYCLING LIMITED,580.00
Environment,Fire Precaution,Chubb Emergency Response,579.00
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,578.82
Childrens' & Cultural Services,Energy - Electricity,Kent County Council(Kcs),577.04
Childrens' & Cultural Services,Furniture & Equipmen,Findel Education Ltd,576.64
Environment,Traffic & Pedestrian,VOLKERHIGHWAYS LTD,575.87
Childrens' & Cultural Services,Cleaning Materials,Janilec Supplies Limited,575.82
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),575.25
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),575.25
Childrens' & Cultural Services,Independent Schools,Tradewind Recruitment,575.00
Childrens' & Cultural Services,Independent Schools,Tradewind Recruitment,575.00
Childrens' & Cultural Services,Respite Care,Crossroads Care,573.75
Adult & Community Services,Energy - Electricity,E.ON LIMITED,573.00
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),572.26
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,571.20
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,570.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,570.00
Environment,Minor Contract Payme,PYRAMID FORESTRY &,570.00
Childrens' & Cultural Services,Other Materials,PKL Group (UK) Limited,569.63
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,568.92
Childrens' & Cultural Services,CSC Grnt fnding serv,NEC Harlequins,567.40
Adult & Community Services,Residential Care,Royal Mencap Society,565.13
Adult & Community Services,Agency Staff,Age Concern Richmond upon Thames,565.10
Childrens' & Cultural Services,CSC Grnt fnding serv,NEC Harlequins,560.20
Childrens' & Cultural Services,Brought Professional,Rachel Craddock,560.13
Childrens' & Cultural Services,Brought Professional,Nathan Hamilton,560.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,560.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,560.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,560.00
Adult & Community Services,Grants Volunt Orgs,Hampton And Hampton Hill Voluntary,557.60
Childrens' & Cultural Services,property Maintenance,B.T.U. (Maintenance) Ltd.,557.50
Childrens' & Cultural Services,Newspapers and Perio,HARRISON NEWS LTD,556.68
Childrens' & Cultural Services,Fire Precaution,IGPA Services Ltd,555.75
Childrens' & Cultural Services,Inter Library Loans,The British Library,554.85
Adult & Community Services,Employee Training,H2 Training & Consultancy,554.80
Childrens' & Cultural Services,Other Materials,PKL Group (UK) Limited,551.00
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,550.44
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Environment,Vehicle Hire,Delta Vehicle Hire Limited,550.41
Housing,Agency Staff,Lloyds TSB Commercial Finance,550.00
Childrens' & Cultural Services,External Consultants,Capacity Consultants Ltd,550.00
Childrens' & Cultural Services,Independent Schools,C E I E C,550.00
Housing,Rent rebates for B&B,GP PROPERTIES (UK) LTD,550.00
Adult & Community Services,Respite Care,Treemont Care Ltd T/A,550.00
Housing,Energy - Gas,Kent County Council(Kcs),548.18
Adult & Community Services,Residential Care,Royal Mencap Society,546.90
Environment,Water Rates,Thames Water Utilities Limited,545.14
Housing,Non Contract Clean,Stephen Proudian T/A,545.00
Environment,Catering Supplies,Hilton Caterers Limited T/A,544.50
Environment,Vehicle Hire,Delta Vehicle Hire Limited,538.02
Environment,Vehicle Hire,Delta Vehicle Hire Limited,538.02
Environment,Catering Supplies,Hilton Caterers Limited T/A,536.50
Childrens' & Cultural Services,property Maintenance,B.T.U. (Maintenance) Ltd.,535.31
Environment,Grounds Maintenance,Veolia ES (UK) Limited,535.27
Environment,Vehicle Tyres,Tyreservices GB Ltd,535.00
Childrens' & Cultural Services,Agency Staff,Brook Street (UK) Limited,534.24
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,533.28
Environment,Highways Maintenance,VOLKERHIGHWAYS LTD,533.22
Environment,Grounds Maint-Contra,T Mohan & Co Ltd,532.88
Environment,Highway Materials,Tarmac Roadstone Southern Ltd,532.22
Environment,Minor Contract Payme,EDF Energy Networks Ltd,530.00
Childrens' & Cultural Services,External Premises HC,Richmond Adult Community College,529.55
Childrens' & Cultural Services,Security,Chubb  Electronic Security,529.02
Environment,Trade Refuse,Harrington & Jessup Ltd T/A The,528.00
Environment,Photocopier Expenses,Ricoh UK Limited,527.24
Environment,Photocopier Expenses,Ricoh UK Limited,527.24
Environment,Highway Materials,W M Smith & Sons (Barnard,525.92
Environment,Non Contract Clean,PHS Group Ltd,521.98
Childrens' & Cultural Services,Agency Staff,Brook Street (UK) Limited,521.52
Environment,Minor Contract Payme,F M Conway Limited,521.49
Environment,Internal Workshop,D Cheeseman T/As Munifix,520.57
Childrens' & Cultural Services,CSC Grnt fnding serv,Compass Group UK,520.00
Childrens' & Cultural Services,CSC Grnt fnding serv,Compass Group UK,520.00
Childrens' & Cultural Services,CSC Grnt fnding serv,Compass Group UK,520.00
Environment,Furniture & Equipmen,Neopost Ltd,520.00
Housing,property Maintenance,Stephen Proudian T/A,520.00
Childrens' & Cultural Services,Swimming Pool Maint,Cordell Engineering Limited,520.00
Finance & Corporate Services,Public Transport,Cyclescheme Limited,515.74
Environment,Street Lighting 2,David Webster Limited,515.67
Adult & Community Services,Home Care,Safe Start Foundation,512.50
Finance & Corporate Services,ICT expenditure,Heywood,512.01
Childrens' & Cultural Services,Brought Professional,Darell Primary Sch,510.03
Adult & Community Services,Cleaning Materials,Greenham Trading Ltd,509.89
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,509.52
Environment,External Printing,BD3,509.00
Environment,Grounds Maintenance,Veolia ES (UK) Limited,508.56
Environment,Landlord Service,Sun Life Assurance,506.97
Adult & Community Services,Respite Care,Malmesbury House,506.58
Environment,Vehicle Workshop,Optare Group Ltd t/a Unitec,506.52
Childrens' & Cultural Services,NVQ off the job,Charity Gift Vouchers Marketing Ltd,506.50
Environment,Furniture & Equipmen,Blackson & Kenridge Ltd,506.31
Adult & Community Services,PCCG Expenses,Old Deer Park Partnership,506.25
Childrens' & Cultural Services,CSC Grnt fnding serv,Compass Group UK,505.20
Childrens' & Cultural Services,CSC Grnt fnding serv,Compass Group UK,505.20
Environment,Vehicle Spares,A C Van Santen & Son Ltd,505.00
Environment,Photocopier Expenses,Ricoh UK Limited,504.90
Environment,Remote Storage,Access Self Storage,501.90
Childrens' & Cultural Services,Agency Supply Teache,SME INVOICE FINANCE LIMITED,500.00
Childrens' & Cultural Services,Agency Supply Teache,SME INVOICE FINANCE LIMITED,500.00
Housing,Assessible Trans Ser,Beckett Corporation Ltd,500.00
Housing,Assessible Trans Ser,Beckett Corporation Ltd,500.00
Housing,Assessible Trans Ser,Beckett Corporation Ltd,500.00
Housing,Assessible Trans Ser,Beckett Corporation Ltd,500.00
Housing,Awards / Prizes,City Of London,500.00
Adult & Community Services,Employee Training,Bournemouth University,500.00
Adult & Community Services,Employee Training,South West London & St. Georges,500.00
Adult & Community Services,Employee Training Ex,Care and Health Law,500.00
Childrens' & Cultural Services,External Consultants,Kingshurst Consulting Group,500.00
Childrens' & Cultural Services,External Consultants,Rosey Blackmore,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Barnes Nature Kindergarten,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Building Blocks Childcare Limited,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Casterbridge Nurseries Ltd T/AS,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Ceres Nursery Ltd T/A,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Heathfield Infant School,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Ivytree Nursery Group,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Jack and Jill School,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Lowther Primary School,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Parkway Nursery School,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Pierpoint Ltd,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,S&S Education Ltd,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Select Enterprises (South East) Ltd,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,St Richards & St Andrews,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,ST. EDMUND'S PLAYGROUP,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Stanley Infants And Nursery School,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Teddington Methodist Playgroup,500.00
Childrens' & Cultural Services,Grants Volunt Orgs,Tic Toc Nursery,500.00
Adult & Community Services,Grants Volunt Orgs,Crossway pregnancy crisis centre,500.00
Adult & Community Services,Grants Volunt Orgs,Still Building Bridges,500.00
Adult & Community Services,Home Care,Safe Start Foundation,500.00
Environment,Internal Workshop,Challenger Commercial Vehicle,500.00
Environment,Minor Contract Payme,Mr W R Stanley T/A W R Stanley,500.00
Childrens' & Cultural Services,Miscellaneous Expens,London United Basketball Club,500.00
Childrens' & Cultural Services,Other Materials,Park Retail Ltd T/A,500.00
Environment,Trade Refuse,RON SMITH RECYCLING LIMITED,500.00
Environment,Trade Refuse,RON SMITH RECYCLING LIMITED,500.00
